dataset,model_key,model_name,target_col,task_type,status,train_time_s,inference_time_ms_per_sample,peak_memory_mb,train_samples,val_samples,test_samples,n_features,error,accuracy,f1,mse,rmse,mae
esol,gnn,GNN,measured log solubility in mols per litre,regression,success,0.6336,0.006123,0.2675,789,113,226,7,,,,2.3337849527515693,1.5276730516545645,1.3265145670481486
freesolv,mlp,MLP Neural Network,expt,regression,success,0.5966,0.012348,0.8908,472,57,113,1,,,,3.9058627055356885,1.976325556565944,1.2802582630810915
freesolv,linear,Linear/Logistic Regression,expt,regression,success,0.0101,0.045988,0.0257,472,57,113,1,,,,3.9809668865012533,1.9952360478152087,1.3187974636587898
freesolv,random_forest,Random Forest,expt,regression,success,1.1432,0.121999,0.3242,472,57,113,1,,,,5.623465693867015,2.371384762932202,1.4965595132743332
freesolv,gnn,GNN,expt,regression,success,0.9779,0.009591,0.1702,472,57,113,1,,,,5.890280169813673,2.4269899401962243,1.5522504554159808
freesolv,fcnn,FCNN,expt,regression,success,0.5636,0.008293,0.1719,472,57,113,1,,,,6.452733644653386,2.5402231485941122,1.603935624994008
freesolv,gradient_boosting,Gradient Boosting,expt,regression,success,0.2484,0.022064,0.0793,472,57,113,1,,,,8.588754828950997,2.9306577468123085,1.7139000383456244
freesolv,lightgbm,LightGBM,expt,regression,success,0.0313,0.030646,1.3638,472,57,113,1,,,,8.904208323531318,2.983992011304876,1.6970084135525452
hiv,linear,Linear/Logistic Regression,HIV_active,classification,success,1.2735,0.004312,224.9074,28784,4112,8224,512,,0.9640077821011673,0.9545407943977368,,,
hiv,random_forest,Random Forest,HIV_active,classification,success,15.4089,0.026522,22.457,28784,4112,8224,512,,0.9661964980544747,0.9557602601720923,,,
hiv,gradient_boosting,Gradient Boosting,HIV_active,classification,success,42.3165,0.016023,7.5078,28784,4112,8224,512,,0.966318093385214,0.9562554718448878,,,
hiv,lightgbm,LightGBM,HIV_active,classification,success,1.3058,0.006422,2.0866,28784,4112,8224,512,,0.9665612840466926,0.9578257930245461,,,
hiv,mlp,MLP Neural Network,HIV_active,classification,success,38.798,0.002615,3.9453,28784,4112,8224,512,,0.9664396887159533,0.9609496554232235,,,
hiv,fcnn,FCNN,HIV_active,classification,success,16.6063,0.005303,130.0386,28784,4112,8224,512,,0.965102140077821,0.9568294133468159,,,
hiv,cnn1d,CNN1D,HIV_active,classification,success,186.0902,0.593076,130.0413,28784,4112,8224,512,,0.9670476653696498,0.9575867835234559,,,
hiv,gnn,GNN,HIV_active,classification,success,16.3844,0.005404,130.1561,28784,4112,8224,512,,0.9649805447470817,0.9566203377310304,,,
lipophilicity,lightgbm,LightGBM,exp,regression,success,0.3508,0.012253,2.9961,2940,420,840,512,,,,0.7820152948183776,0.8843162866409153,0.6909692253625246
lipophilicity,gnn,GNN,exp,regression,success,4.8563,0.006545,13.5435,2940,420,840,512,,,,0.8749821095174933,0.9354047837794573,0.7357944792104619
lipophilicity,random_forest,Random Forest,exp,regression,success,23.0463,0.044401,22.125,2940,420,840,512,,,,0.8822950044314631,0.9393055969339601,0.7415207318594105
lipophilicity,fcnn,FCNN,exp,regression,success,4.3152,0.007426,13.4216,2940,420,840,512,,,,0.888296004463576,0.9424945646864898,0.7370899462593454
lipophilicity,gradient_boosting,Gradient Boosting,exp,regression,success,3.9905,0.012384,0.1939,2940,420,840,512,,,,0.9504507113622681,0.9749106171143425,0.7768810866810971
lipophilicity,mlp,MLP Neural Network,exp,regression,success,6.258,0.005532,3.7496,2940,420,840,512,,,,1.0064725328312747,1.0032310465846213,0.7812720441168973
lipophilicity,cnn1d,CNN1D,exp,regression,success,62.5719,0.311074,223.543,2940,420,840,512,,,,1.0330738051583421,1.0164023834871414,0.8020794066389402
lipophilicity,linear,Linear/Logistic Regression,exp,regression,success,0.2123,0.005969,11.7986,2940,420,840,512,,,,1.0519058499036609,1.0256246145172516,0.7999334092409838
qm9,random_forest,Random Forest,U0,regression,success,258.2762,0.052213,790.918,91581,13083,26167,18,,,,0.9069901964213553,0.9523603290883946,0.6765538415814758
qm9,lightgbm,LightGBM,U0,regression,success,0.8997,0.004046,1.9384,91581,13083,26167,18,,,,1.1131244098092414,1.0550471126017271,0.7846134540402329
qm9,gnn,GNN,U0,regression,success,84.0636,0.001744,25.3804,91581,13083,26167,18,,,,1.2075893942356273,1.0989037238246249,0.8109372068194668
qm9,fcnn,FCNN,U0,regression,success,78.327,0.002076,25.3922,91581,13083,26167,18,,,,1.2315707712786492,1.1097615830792888,0.8207591009526037
qm9,cnn1d,CNN1D,U0,regression,success,83.8846,0.013337,25.3713,91581,13083,26167,18,,,,1.2684817319979125,1.1262689430140176,0.8430191847088658
qm9,gradient_boosting,Gradient Boosting,U0,regression,success,71.0795,0.001665,10.6247,91581,13083,26167,18,,,,1.2894399006084036,1.1355350723814759,0.8510573247324889
qm9,linear,Linear/Logistic Regression,U0,regression,success,0.1169,0.000138,26.5912,91581,13083,26167,18,,,,1.6724025401416132,1.2932140349306502,0.942050772153562
qm9,mlp,MLP Neural Network,U0,regression,success,54.5294,0.003015,2.9218,91581,13083,26167,18,,,,2.0200661084949254,1.4212902970522685,1.1025217023860772
tennessee_eastman,linear,Linear/Logistic Regression,label,classification,success,0.0679,0.002501,2.9168,6664,953,1905,52,,0.952755905511811,0.9297053594107189,,,
tennessee_eastman,random_forest,Random Forest,label,classification,success,3.8396,0.016241,2.028,6664,953,1905,52,,0.9532808398950131,0.930993679154327,,,
tennessee_eastman,gradient_boosting,Gradient Boosting,label,classification,success,10.0598,0.002423,1.9903,6664,953,1905,52,,0.9553805774278216,0.9359297078018962,,,
tennessee_eastman,lightgbm,LightGBM,label,classification,success,10.2341,0.007548,25.8906,6664,953,1905,52,,0.9700787401574803,0.9637193559760254,,,
tennessee_eastman,mlp,MLP Neural Network,label,classification,success,9.2177,0.002484,1.6719,6664,953,1905,52,,0.9359580052493438,0.9307795832761805,,,
tennessee_eastman,fcnn,FCNN,label,classification,success,14.9249,0.001976,109.5391,6664,953,1905,52,,0.952755905511811,0.9297053594107189,,,
tennessee_eastman,cnn1d,CNN1D,label,classification,success,21.8432,0.035192,17.7031,6664,953,1905,52,,0.952755905511811,0.9297053594107189,,,
tennessee_eastman,gnn,GNN,label,classification,success,7.8193,0.001889,5.1937,6664,953,1905,52,,0.952755905511811,0.9297053594107189,,,
tox21,fcnn,FCNN,NR-AR,regression,success,2.7988,0.005317,24.834,5475,783,1565,512,,,,0.03686197376435947,0.19199472327217607,0.06332622167501693
tox21,gnn,GNN,NR-AR,regression,success,5.5101,0.034478,24.8332,5475,783,1565,512,,,,0.037528529792107926,0.19372281691145193,0.0624923055429077
tox21,gradient_boosting,Gradient Boosting,NR-AR,regression,success,7.6084,0.008162,0.3146,5475,783,1565,512,,,,0.037565380425962865,0.19381790532859153,0.06975421554924156
tox21,lightgbm,LightGBM,NR-AR,regression,success,0.6071,0.032191,1.6811,5475,783,1565,512,,,,0.03816014962097741,0.19534623011713692,0.07525563811712706
tox21,random_forest,Random Forest,NR-AR,regression,success,59.8185,0.089372,3.5547,5475,783,1565,512,,,,0.03836552352738223,0.19587119116241222,0.07401363879173897
tox21,linear,Linear/Logistic Regression,NR-AR,regression,success,0.2145,0.002891,21.7185,5475,783,1565,512,,,,0.04005264143387934,0.20013156031440754,0.09614365187112302
tox21,mlp,MLP Neural Network,NR-AR,regression,success,8.8518,0.008152,3.7705,5475,783,1565,512,,,,0.04668258767558397,0.21606153677964982,0.1156687669972565
tox21,cnn1d,CNN1D,NR-AR,regression,success,27.1828,0.523793,57.2578,5475,783,1565,512,,,,0.05577340026729716,0.23616392668504044,0.10007349632085125
